Question,Response,Source,Type,Track
What are the supported data types in Python?,,springboard,,
"“Python’s built-in (or standard) data types can be grouped into several classes. Sticking to the hierarchy scheme used in the official Python documentation these are numeric types, sequences, sets and mappings.”",,springboard,,
What is the difference between a tuple and a list in Python?,“Apart from tuples being immutable there is also a semantic distinction that should guide their usage.”,springboard,,
What are the different types of sorting algorithms available in R language?,"There are insertion, bubble, and selection sorting algorithms.",springboard,,
What are the different data objects in R?,"“R objects can store values as different core data types (referred to as modes in R jargon); these include numeric (both integer and double), character and logical.” ",springboard,,
What packages are you most familiar with? What do you like or dislike about them?,,springboard,,
How do you access the element in the 2nd column and 4th row of a matrix named M?,"We can access elements of a matrix using the square bracket [ indexing method. Elements can be accessed as var[row, column]",springboard,,
What is the command used to store R objects in a file?,,springboard,,
What is the best way to use Hadoop and R together for analysis?,“Hadoop and R complement each other quite well in terms of visualization and analytics of big data. There are four different ways of using Hadoop and R together.”,springboard,,
How do you split a continuous variable into different groups/ranks in R?,,springboard,,
Write a function in R language to replace the missing value in a vector with the mean of that vector.,,springboard,,
What is the purpose of the group functions in SQL? Give some examples of group functions.,"Group functions are necessary to get summary statistics of a data set. COUNT, MAX, MIN, AVG, SUM, and DISTINCT are all group functions.",springboard,,
"Tell me the difference between an inner join, left join/right join, and union.","“In a Venn diagram the inner join is when both tables have a match, a left join is when there is a match in the left table and the right table is null, a right join is the opposite of a left join, and a full join is all of the data combined.”",springboard,,
What does UNION do? What is the difference between UNION and UNION ALL?,"“UNION removes duplicate records (where all columns in the results are the same), UNION ALL does not.” ",springboard,,
What is the difference between SQL and MySQL or SQL Server?,"SQL stands for Structured Query Language. It’s a standard language for accessing and manipulating databases. MySQL is a database management system, like SQL Server, Oracle, Informix, Postgres, etc.",springboard,,
"If a table contains duplicate rows, does a query result display the duplicate values by default? How can you eliminate duplicate rows from a query result?",Yes. One way you can eliminate duplicate rows with the DISTINCT clause.,springboard,,
Tell me about how you designed a model for a past employer or client.,,springboard,,
What are your favorite data visualization techniques?,,springboard,,
How would you effectively represent data with 5 dimensions?,,springboard,,
How is k-NN different from k-means clustering?,"k-NN, or k-nearest neighbors is a classification algorithm, where the k is an integer describing the number of neighboring data points that influence the classification of a given observation. K-means is a clustering algorithm, where the k is an integer describing the number of clusters to be created from the given data.",springboard,,
How would you create a logistic regression model?,,springboard,,
Have you used a time series model? Do you understand cross-correlations with time lags?,,springboard,,
"Explain the 80/20 rule, and tell me about its importance in model validation.",“People usually tend to start with a 80-20% split (80% training set – 20% test set) and split the training set once more into a 80-20% ratio to create the validation set.”,springboard,,
Explain what precision and recall are. How do they relate to the ROC curve?,"Recall describes what percentage of true positives are described as positive by the model. Precision describes what percent of positive predictions were correct. The ROC curve shows the relationship between model recall and specificity–specificity being a measure of the percent of true negatives being described as negative by the model. Recall, precision, and the ROC are measures used to identify how useful a given classification model is. Read more here.",springboard,,
Explain the difference between L1 and L2 regularization methods.,“A regression model that uses L1 regularization technique is called Lasso Regression and model which uses L2 is called Ridge Regression. The key difference between these two is the penalty term.” ,springboard,,
What is root cause analysis?,"All of us dread that meeting where the boss asks ‘why is revenue down?’ The only thing worse than that question is not having any answers! There are many changes happening in your business every day, and often you will want to understand exactly what is driving a given change — especially if it is unexpected. Understanding the underlying causes of change is known as root cause analysis.",springboard,,
What are hash table collisions?,"If the range of key values is larger than the size of our hash table, which is usually always the case, then we must account for the possibility that two different records with two different keys can hash to the same table index. There are a few different ways to resolve this issue. In hash table vernacular, this solution implemented is referred to as collision resolution.",springboard,,
What is an exact test?,"In statistics, an exact (significance) test is a test where all assumptions, upon which the derivation of the distribution of the test statistic is based, are met as opposed to an approximate test (in which the approximation may be made as close as desired by making the sample size big enough). This will result in a significance test that will have a false rejection rate always equal to the significance level of the test. For example an exact test at significance level 5% will in the long run reject true null hypotheses exactly 5% of the time.",springboard,,
"In your opinion, which is more important when designing a machine learning model: model performance or model accuracy?","What is one way that you would handle an imbalanced data set that’s being used for prediction (i.e., vastly more negative classes than positive classes)?",springboard,,
How would you validate a model you created to generate a predictive model of a quantitative outcome variable using multiple regression?,,springboard,,
I have two models of comparable accuracy and computational performance. Which one should I choose for production and why?,,springboard,,
How do you deal with sparsity?,,springboard,,
Is it better to spend five days developing a 90-percent accurate solution or 10 days for 100-percent accuracy?,,springboard,,
What are some situations where a general linear model fails?,,springboard,,
Do you think 50 small decision trees are better than a large one? Why?,,springboard,,
"When modifying an algorithm, how do you know that your changes are an improvement over not doing anything?",,springboard,,
Is it better to have too many false positives or too many false negatives?,,springboard,,
Tell me about a time when you took initiative.,,springboard,,
Tell me about a time when you had to overcome a dilemma.,,springboard,,
Tell me about a time when you resolved a conflict.,,springboard,,
Tell me about a time you failed and what you have learned from it.,,springboard,,
Tell me about (a job on your resume). Why did you choose to do it and what do you like most about it?,,springboard,,
Tell me about a challenge you have overcome while working on a group project.,,springboard,,
"When you encountered a tedious, boring task, how would you deal with it and motivate yourself to complete it?",,springboard,,
What have you done in the past to make a client satisfied/happy?,,springboard,,
What have you done in your previous job that you are really proud of?,,springboard,,
What do you do when your personal life is running over into your work life?,,springboard,,
Which data scientists do you admire most? Which startups?,There are plenty of amazing data scientists to choose from—take a look at this article on top data science influencers for interesting information about some of the top data scientists in the world.,springboard,,
What do you think makes a good data scientist?,,springboard,,
How did you become interested in data science?,,springboard,,
Give a few examples of “best practices” in data science.,,springboard,,
What is the latest data science book / article you read? What is the latest data mining conference / webinar / class / workshop / training you attended?,,springboard,,
What’s a project you would want to work on at our company?,,springboard,,
What unique skills do you think you’d bring to the team?,,springboard,,
What data would you love to acquire if there were no limitations?,,springboard,,
Have you ever thought about creating your own startup? Around which idea / concept?,,springboard,,
What can your hobbies tell me that your resume can’t?,,springboard,,
What are your top 5 predictions for the next 20 years?,,springboard,,
What did you do today? Or what did you do this week / last week?,,springboard,,
How would you come up with a solution to identify plagiarism?,,springboard,,
How many “useful” votes will a Yelp review receive?,,springboard,,
How do you detect individual paid accounts shared by multiple users?,,springboard,,
You are about to send a million emails. How do you optimize delivery? How do you optimize response?,,springboard,,
"You have a data set containing 100,000 rows and 100 columns, with one of those columns being our dependent variable for a problem we’d like to solve. How can we quickly identify which columns will be helpful in predicting the dependent variable. Identify two techniques and explain them to me as though I were 5 years old.",,springboard,,
"How would you detect bogus reviews, or bogus Facebook accounts used for bad purposes?","This is an opportunity to showcase your knowledge of machine learning algorithms; specifically, sentiment analysis and text analysis algorithms. Showcase your knowledge of fraudulent behavior—what are the abnormal behaviors that can typically be seen from fraudulent accounts?",springboard,,
"How would you perform clustering on a million unique keywords, assuming you have 10 million data points—each one consisting of two keywords, and a metric measuring how similar these two keywords are? How would you create this 10 million data points table in the first place?",,springboard,,
"How would you optimize a web crawler to run much faster, extract better information, and better summarize data to produce cleaner databases?",,springboard,,
"You are compiling a report for user content uploaded every month and notice a spike in uploads in October. In particular, a spike in picture uploads. What might you think is the cause of this, and how would you test it?",Hypothesis: the photos are Halloween pictures. Test: look at upload trends in countries that do not observe Halloween as a sort of counter-factual analysis.  We cannot say what has caused the spike since causal relationship cannot be established with observed data. But we can compare the averages of all the months by performing a hypothesis testing and rejecting the null hypothesis if the F1 score is significant.,glassdoor,,
"How do you take millions of users with 100's of transactions each, amongst 10k's of products and group the users together in a meaningful segments?",,glassdoor,,
How would you build and test a metric to compare two user's ranked lists of movie/tv show preferences?,,glassdoor,,
"How would you test if survey responses were filled at random by certain individuals, as opposed to truthful selections?",,udacity,,
What do you think a data scientist is/does?,,udacity,,
What do you think are the most important skills for a data scientist to have?,,udacity,,
"Which machine learning model (classification vs. regression, for example) to use given a particular problem.",,udacity,,
"How to go about training, testing, and validating results. Different ways of controlling for model complexity.",,udacity,,
"How to model a quantity that you can’t directly observe (using Bayesian approaches, for example, and when doing so, how to choose prior distributions).",,udacity,,
"What are various numerical optimization techniques (maximum likelihood, maximum a posteriori).",,udacity,,
"What types of data are important for a particular set of business needs, how you would go about collecting that data.",,udacity,,
"Dealing with correlated features in your data set, how to reduce the dimensionality of data.",,udacity,,
Linear/polynomial regression,,udacity,,
Decision trees,,udacity,,
Dimensionality reduction,,udacity,,
Clustering,,udacity,,
What’s a project you would want to work on at our company?,,udacity,,
What data would you go after to start working on it?,,udacity,,
What unique skills do you think you’d bring to the team?,,udacity,,
how do you detect outliers?,,dezyre,,
"What is the biggest data set that you processed, and how did you process it, what were the results?",,dezyre,,
Tell me two success stories about your analytic or computer science projects? How was lift (or success) measured?,,dezyre,,
"What is: lift, KPI, robustness, model fitting, design of experiments, 80/20 rule?",,dezyre,,
"What is: collaborative filtering, n-grams, map reduce, cosine distance?",,dezyre,,
"How to optimize a web crawler to run much faster, extract better information, and better summarize data to produce cleaner databases?",,dezyre,,
How would you come up with a solution to identify plagiarism?,,dezyre,,
How to detect individual paid accounts shared by multiple users?,,dezyre,,
Should click data be handled in real time? Why? In which contexts?,,dezyre,,
"What is better: good data or good models? And how do you define ""good""? Is there a universal good model? Are there any models that are definitely not so good?",,dezyre,,
What is probabilistic merging (AKA fuzzy merging)? Is it easier to handle with SQL or other languages? Which languages would you choose for semi-structured text data reconciliation? ,,dezyre,,
How do you handle missing data? What imputation techniques do you recommend?,,dezyre,,
What is your favorite programming language / vendor? why?,,dezyre,,
Tell me 3 things positive and 3 things negative about your favorite statistical software.,,dezyre,,
"Compare SAS, R, Python, Perl",,dezyre,,
What is the curse of big data?,,dezyre,,
Have you been involved in database design and data modeling?,,dezyre,,
Have you been involved in dashboard creation and metric selection? What do you think about Birt?,,dezyre,,
What features of Teradata do you like?,,dezyre,,
You are about to send one million email (marketing campaign). How do you optimze delivery? How do you optimize response? Can you optimize both separately? (answer: not really),,dezyre,,
"Toad or Brio or any other similar clients are quite inefficient to query Oracle databases. Why? How would you do to increase speed by a factor 10, and be able to handle far bigger outputs? ",,dezyre,,
How would you turn unstructured data into structured data? Is it really necessary? Is it OK to store data as flat text files rather than in an SQL-powered RDBMS?,,dezyre,,
What are hash table collisions? How is it avoided? How frequently does it happen?,,dezyre,,
How to make sure a mapreduce application has good load balance? What is load balance?,,dezyre,,
Examples where mapreduce does not work? Examples where it works very well? What are the security issues involved with the cloud? What do you think of EMC's solution offering an hybrid approach - both internal and external cloud - to mitigate the risks and offer other advantages (which ones)?,,dezyre,,
"Is it better to have 100 small hash tables or one big hash table, in memory, in terms of access speed (assuming both fit within RAM)? What do you think about in-database analytics?",,dezyre,,
Why is naive Bayes so bad? How would you improve a spam detection algorithm that uses naive Bayes?,,dezyre,,
Have you been working with white lists? Positive rules? (In the context of fraud or spam detection),,dezyre,,
What is star schema? Lookup tables? ,,dezyre,,
"Can you perform logistic regression with Excel? (yes) How? (use linest on log-transformed data)? Would the result be good? (Excel has numerical issues, but it's very interactive)",,dezyre,,
"Have you optimized code or algorithms for speed: in SQL, Perl, C++, Python etc. How, and by how much?",,dezyre,,
"Is it better to spend 5 days developing a 90% accurate solution, or 10 days for 100% accuracy? Depends on the context?",,dezyre,,
"Define: quality assurance, six sigma, design of experiments. Give examples of good and bad designs of experiments.",,dezyre,,
"What are the drawbacks of general linear model? Are you familiar with alternatives (Lasso, ridge regression, boosted trees)?",,dezyre,,
Do you think 50 small decision trees are better than a large one? Why?,,dezyre,,
"Is actuarial science not a branch of statistics (survival analysis)? If not, how so?",,dezyre,,
"Give examples of data that does not have a Gaussian distribution, nor log-normal. Give examples of data that has a very chaotic distribution?",,dezyre,,
Why is mean square error a bad measure of model performance? What would you suggest instead?,,dezyre,,
How can you prove that one improvement you've brought to an algorithm is really an improvement over not doing anything? Are you familiar with A/B testing?,,dezyre,,
"What is sensitivity analysis? Is it better to have low sensitivity (that is, great robustness) and low predictive power, or the other way around? How to perform good cross-validation? What do you think about the idea of injecting noise in your data set to test the sensitivity of your models?",,dezyre,,
"Compare logistic regression w. decision trees, neural networks. How have these technologies been vastly improved over the last 15 years?",,dezyre,,
Do you know / used data reduction techniques other than PCA? What do you think of step-wise regression? What kind of step-wise techniques are you familiar with? When is full data better than reduced data or sample?,,dezyre,,
"How would you build non parametric confidence intervals, e.g. for scores? (see the AnalyticBridge theorem)",,dezyre,,
"Are you familiar either with extreme value theory, monte carlo simulations or mathematical statistics (or anything else) to correctly estimate the chance of a very rare event?",,dezyre,,
What is root cause analysis? How to identify a cause vs. a correlation? Give examples.,,dezyre,,
How would you define and measure the predictive power of a metric?,,dezyre,,
"How to detect the best rule set for a fraud detection scoring technology? How do you deal with rule redundancy, rule discovery, and the combinatorial nature of the problem (for finding optimum rule set - the one with best predictive power)? Can an approximate solution to the rule set problem be OK? How would you find an OK approximate solution? How would you decide it is good enough and stop looking for a better one?",,dezyre,,
How to create a keyword taxonomy?,,dezyre,,
What is a Botnet? How can it be detected?,,dezyre,,
Any experience with using API's? Programming API's? Google or Amazon API's? AaaS (Analytics as a service)?,,dezyre,,
When is it better to write your own code than using a data science software package?,,dezyre,,
Which tools do you use for visualization? What do you think of Tableau? R? SAS? (for graphs). How to efficiently represent 5 dimension in a chart (or in a video)?,,dezyre,,
What is POC (proof of concept)?,,dezyre,,
"What types of clients have you been working with: internal, external, sales / finance / marketing / IT people? Consulting experience? Dealing with vendors, including vendor selection and testing?",,dezyre,,
Are you familiar with software life cycle? With IT project life cycle - from gathering requests to maintenance?,,dezyre,,
What is a cron job? ,,dezyre,,
Are you a lone coder? A production guy (developer)? Or a designer (architect)?,,dezyre,,
"Is it better to have too many false positives, or too many false negatives?",,dezyre,,
"Are you familiar with pricing optimization, price elasticity, inventory management, competitive intelligence? Give examples. ",,dezyre,,
How does Zillow's algorithm work? (to estimate the value of any home in US),,dezyre,,
"How to detect bogus reviews, or bogus Facebook accounts used for bad purposes?",,dezyre,,
How would you create a new anonymous digital currency?,,dezyre,,
Have you ever thought about creating a startup? Around which idea / concept?,,dezyre,,
Do you think that typed login / password will disappear? How could they be replaced?,,dezyre,,
Have you used time series models? Cross-correlations with time lags? Correlograms? Spectral analysis? Signal processing and filtering techniques? In which context?,,dezyre,,
Which data scientists do you admire most? which startups?,,dezyre,,
How did you become interested in data science?,,dezyre,,
"What is an efficiency curve? What are its drawbacks, and how can they be overcome?",,dezyre,,
What is a recommendation engine? How does it work?,,dezyre,,
What is an exact test? How and when can simulations help us when we do not use an exact test?,,dezyre,,
What do you think makes a good data scientist?,,dezyre,,
Do you think data science is an art or a science?,,dezyre,,
"What is the computational complexity of a good, fast clustering algorithm? What is a good clustering algorithm? How do you determine the number of clusters? How would you perform clustering on one million unique keywords, assuming you have 10 million data points - each one consisting of two keywords, and a metric measuring how similar these two keywords are? How would you create this 10 million data points table in the first place?",,dezyre,,
"Give a few examples of ""best practices"" in data science.",,dezyre,,
"What could make a chart misleading, difficult to read or interpret? What features should a useful chart have?",,dezyre,,
"Do you know a few ""rules of thumb"" used in statistical or computer science? Or in business analytics?",,dezyre,,
What are your top 5 predictions for the next 20 years?,,dezyre,,
"How do you immediately know when statistics published in an article (e.g. newspaper) are either wrong or presented to support the author's point of view, rather than correct, comprehensive factual information on a specific subject? For instance, what do you think about the official monthly unemployment statistics regularly discussed in the press? What could make them more accurate?",,dezyre,,
Testing your analytic intuition: look at these three charts. Two of them exhibit patterns. Which ones? Do you know that these charts are called scatter-plots? Are there other ways to visually represent this type of data?,,dezyre,,
"You design a robust non-parametric statistic (metric) to replace correlation or R square, that (1) is independent of sample size, (2) always between -1 and +1, and (3) based on rank statistics. How do you normalize for sample size? Write an algorithm that computes all permutations of n elements. How do you sample permutations (that is, generate tons of random permutations) when n is large, to estimate the asymptotic distribution for your newly created metric? You may use this asymptotic distribution for normalizing your metric. Do you think that an exact theoretical distribution might exist, and therefore, we should find it, and use it rather than wasting our time trying to estimate the asymptotic distribution using simulations? ",,dezyre,,
"More difficult, technical question related to previous one. There is an obvious one-to-one correspondence between permutations of n elements and integers between 1 and n! Design an algorithm that encodes an integer less than n! as a permutation of n elements. What would be the reverse algorithm, used to decode a permutation and transform it back into a number? Hint: An intermediate step is to use the factorial number system representation of an integer. Feel free to check this reference online to answer the question. Even better, feel free to browse the web to find the full answer to the question (this will test the candidate's ability to quickly search online and find a solution to a problem without spending hours reinventing the wheel).  ",,dezyre,,
"How many ""useful"" votes will a Yelp review receive? My answer: Eliminate bogus accounts (read this article), or competitor reviews (how to detect them: use taxonomy to classify users, and location - two Italian restaurants in same Zip code could badmouth each other and write great comments for themselves). Detect fake likes: some companies (e.g. FanMeNow.com) will charge you to produce fake accounts and fake likes. Eliminate prolific users who like everything, those who hate everything. Have a blacklist of keywords to filter fake reviews. See if IP address or IP block of reviewer is in a blacklist such as ""Stop Forum Spam"". Create honeypot to catch fraudsters.  Also watch out for disgruntled employees badmouthing their former employer. Watch out for 2 or 3 similar comments posted the same day by 3 users regarding a company that receives very few reviews. Is it a brand new company? Add more weight to trusted users (create a category of trusted users).  Flag all reviews that are identical (or nearly identical) and come from same IP address or same user. Create a metric to measure distance between two pieces of text (reviews). Create a review or reviewer taxonomy. Use hidden decision trees to rate or score review and reviewers.",,dezyre,,
What did you do today? Or what did you do this week / last week?,,dezyre,,
What/when is the latest data mining book / article you read? What/when is the latest data mining conference / webinar / class / workshop / training you attended? What/when is the most recent programming skill that you acquired?,,dezyre,,
"What are your favorite data science websites? Who do you admire most in the data science community, and why? Which company do you admire most?",,dezyre,,
What/when/where is the last data science blog post you wrote? ,,dezyre,,
"In your opinion, what is data science? Machine learning? Data mining?",,dezyre,,
Who are the best people you recruited and where are they today?,,dezyre,,
"What are your favorite data science websites? Who do you admire most in the data science community, and why? Which company do you admire most?",,dezyre,,
What/when/where is the last data science blog post you wrote? ,,dezyre,,
"In your opinion, what is data science? Machine learning? Data mining?",,dezyre,,
Who are the best people you recruited and where are they today?,,dezyre,,
"Can you estimate and forecast sales for any book, based on Amazon public data? Hint: read this article.",,dezyre,,
What's wrong with this picture?,,dezyre,,
"Should removing stop words be Step 1 rather than Step 3, in the search engine algorithm described here? Answer: Have you thought about the fact that mine and yours could also be stop words? So in a bad implementation, data mining would become data mine after stemming, then data. In practice, you remove stop words before stemming. So Step 3 should indeed become step 1. ",,dezyre,,
Experimental design and a bit of computer science with Lego's,,dezyre,,
You are given a train data set having 1000 columns and 1 million rows. The data set is based on a classification problem. Your manager has asked you to reduce the dimension of this data so that model computation time can be reduced. Your machine has memory constraints. What would you do? (You are free to make practical assumptions.),"Processing a high dimensional data on a limited memory machine is a strenuous task, your interviewer would be fully aware of that. Following are the methods you can use to tackle such situation:

Since we have lower RAM, we should close all other applications in our machine, including the web browser, so that most of the memory can be put to use.
We can randomly sample the data set. This means, we can create a smaller data set, let’s say, having 1000 variables and 300000 rows and do the computations.
To reduce dimensionality, we can separate the numerical and categorical variables and remove the correlated variables. For numerical variables, we’ll use correlation. For categorical variables, we’ll use chi-square test.
Also, we can use PCA and pick the components which can explain the maximum variance in the data set.
Using online learning algorithms like Vowpal Wabbit (available in Python) is a possible option.
Building a linear model using Stochastic Gradient Descent is also helpful.
We can also apply our business understanding to estimate which all predictors can impact the response variable. But, this is an intuitive approach, failing to identify useful predictors might result in significant loss of information.",analyticsvidhya,,
" Is rotation necessary in PCA? If yes, Why? What will happen if you don’t rotate the components?","Yes, rotation (orthogonal) is necessary because it maximizes the difference between variance captured by the component. This makes the components easier to interpret. Not to forget, that’s the motive of doing PCA where, we aim to select fewer components (than features) which can explain the maximum variance in the data set. By doing rotation, the relative location of the components doesn’t change, it only changes the actual coordinates of the points.",analyticsvidhya,,
You are given a data set. The data set has missing values which spread along 1 standard deviation from the median. What percentage of data would remain unaffected? Why?,"This question has enough hints for you to start thinking! Since, the data is spread across median, let’s assume it’s a normal distribution. We know, in a normal distribution, ~68% of the data lies in 1 standard deviation from mean (or mode, median), which leaves ~32% of the data unaffected. Therefore, ~32% of the data would remain unaffected by missing values.",analyticsvidhya,,
You are given a data set on cancer detection. You’ve build a classification model and achieved an accuracy of 96%. Why shouldn’t you be happy with your model performance? What can you do about it?,"If you have worked on enough data sets, you should deduce that cancer detection results in imbalanced data. In an imbalanced data set, accuracy should not be used as a measure of performance because 96% (as given) might only be predicting majority class correctly, but our class of interest is minority class (4%) which is the people who actually got diagnosed with cancer. Hence, in order to evaluate model performance, we should use Sensitivity (True Positive Rate), Specificity (True Negative Rate), F measure to determine class wise performance of the classifier. If the minority class performance is found to to be poor, we can undertake the following steps:

We can use undersampling, oversampling or SMOTE to make the data balanced.
We can alter the prediction threshold value by doing probability caliberation and finding a optimal threshold using AUC-ROC curve.
We can assign weight to classes such that the minority classes gets larger weight.
We can also use anomaly detection.",analyticsvidhya,,
Why is naive Bayes so ‘naive’ ?,"naive Bayes is so ‘naive’ because it assumes that all of the features in a data set are equally important and independent. As we know, these assumption are rarely true in real world scenario.",analyticsvidhya,,
"Explain prior probability, likelihood and marginal likelihood in context of naiveBayes algorithm?","Prior probability is nothing but, the proportion of dependent (binary) variable in the data set. It is the closest guess you can make about a class, without any further information. For example: In a data set, the dependent variable is binary (1 and 0). The proportion of 1 (spam) is 70% and 0 (not spam) is 30%. Hence, we can estimate that there are 70% chances that any new email would  be classified as spam.

Likelihood is the probability of classifying a given observation as 1 in presence of some other variable. For example: The probability that the word ‘FREE’ is used in previous spam message is likelihood. Marginal likelihood is, the probability that the word ‘FREE’ is used in any message.",analyticsvidhya,,
"You are working on a time series data set. You manager has asked you to build a high accuracy model. You start with the decision tree algorithm, since you know it works fairly well on all kinds of data. Later, you tried a time series regression model and got higher accuracy than decision tree model. Can this happen? Why?","Time series data is known to posses linearity. On the other hand, a decision tree algorithm is known to work best to detect non – linear interactions. The reason why decision tree failed to provide robust predictions because it couldn’t map the linear relationship as good as a regression model did. Therefore, we learned that, a linear regression model can provide robust prediction given the data set satisfies its linearity assumptions.",analyticsvidhya,,
"You are assigned a new project which involves helping a food delivery company save more money. The problem is, company’s delivery team aren’t able to deliver food on time. As a result, their customers get unhappy. And, to keep them happy, they end up delivering food for free. Which machine learning algorithm can save them?","You might have started hopping through the list of ML algorithms in your mind. But, wait! Such questions are asked to test your machine learning fundamentals.
This is not a machine learning problem. This is a route optimization problem. A machine learning problem consist of three things:

There exist a pattern.
You cannot solve it mathematically (even by writing exponential equations).
You have data on it.
Always look for these three factors to decide if machine learning is a tool to solve a particular problem.",analyticsvidhya,,
You came to know that your model is suffering from low bias and high variance. Which algorithm should you use to tackle it? Why?,"Low bias occurs when the model’s predicted values are near to actual values. In other words, the model becomes flexible enough to mimic the training data distribution. While it sounds like great achievement, but not to forget, a flexible model has no generalization capabilities. It means, when this model is tested on an unseen data, it gives disappointing results.

In such situations, we can use bagging algorithm (like random forest) to tackle high variance problem. Bagging algorithms divides a data set into subsets made with repeated randomized sampling. Then, these samples are used to generate  a set of models using a single learning algorithm. Later, the model predictions are combined using voting (classification) or averaging (regression).

Also, to combat high variance, we can:

Use regularization technique, where higher model coefficients get penalized, hence lowering model complexity.
Use top n features from variable importance chart. May be, with all the variable in the data set, the algorithm is having difficulty in finding the meaningful signal.",analyticsvidhya,,
